batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Single,122.49,105.42,434378,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,149.6,169.68,592332,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,123.49,181.73,279824,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,152.61,93.37,518633,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,211.85,59.24,474668,H,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,151.61,167.67,502009,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,150.6,171.69,434665,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,210.84,54.22,425386,H,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,118.47,67.27,592767,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,148.59,167.67,519344,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,133.53,159.64,456051,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,175.7,56.22,474029,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,146.59,158.63,434637,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,177.71,117.47,408241,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,139.56,110.44,136600,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,113.45,153.61,501955,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,149.6,171.69,434637,E,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,142.57,155.62,506433,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,130.52,156.63,461872,E,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,157.63,434637,O,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,165.66,115.46,592091,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,185.74,109.44,456051,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,159.64,53.21,592767,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,105.42,173.69,430613,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,140.56,153.61,502042,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,138.55,157.63,570649,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,126.51,77.31,434378,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,122.49,141.57,445060,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,216.87,91.37,450306,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,136.55,89.36,425532,H,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,136.55,88.35,502748,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,118.47,149.6,519344,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
