"","id","full_name"
"398",534571,"Juan Santini"
"399",534572,"Zach Avery"
"400",534573,"Dustin Leonard"
"401",534574,"Jonathan Rodriguez"
"402",534575,"Ray Morris"
"403",534576,"Gus Schlosser"
"404",534577,"Garrett Gregory"
"405",534578,"Logan Moro"
"406",536431,"Nate Davis"
"407",475767,"Robert Haney"
"408",112031,"Hector Carrasco"
"409",112223,"Raul Chavez"
"410",113296,"Elmer Dessens"
"411",114909,"Chris Gomez"
"412",123689,"Jorge Velandia"
"413",124605,"Jaret Wright"
"414",137006,"Doug Mientkiewicz"
"415",150089,"Michel Hernandez"
"416",150197,"Jose Macias"
"417",276372,"Luis Rivas"
"418",333292,"Jack Wilson"
"419",333293,"Adam Bernero"
"420",346848,"John Grabow"
"421",407154,"Casey Fossum"
"422",408108,"Freddy Sanchez"
"423",425491,"Ryan Doumit"
"424",425543,"Josh Wilson"
"425",425560,"Adam LaRoche"
"426",425661,"Ronny Paulino"
"427",425860,"Bryan Bullington"
"428",429724,"John Van Benschoten"
"429",430597,"Phil Dumatrait"
"430",430613,"Ronald Belisario"
"431",430634,"Sean Burnett"
"432",430636,"Ian Snell"
"433",430832,"Jose Bautista"
"434",430904,"Paul Maholm"
"435",430952,"Miguel Perez"
"436",434659,"Chris Duffy"
"437",434661,"Nate McLouth"
"438",434701,"Franquelis Osoria"
"439",434978,"Marino Salas"
"440",435043,"Zach Duke"
"441",435058,"Jonah Bayliss"
"442",435522,"Neil Walker"
"443",444448,"Brian Bixler"
"444",444864,"Jimmy Barthmaier"
"445",445120,"Mike Thompson"
"446",445926,"Jesse Chavez"
"448",446647,"Olivo Astacio"
"449",446884,"T.J. Beam"
"450",446910,"Brian Rogers"
"451",446952,"Luis Munoz"
"452",448165,"Matt Capps"
"453",452656,"David Davidson"
"454",452733,"Tom Gorzelanny"
"455",453911,"Kevin Thompson"
"456",454972,"Romulo Sanchez"
"457",456665,"Steve Pearce"
"458",457458,"Ty Taubenheim"
"459",457465,"Josh Sharpless"
"460",457705,"Andrew McCutchen"
"461",458501,"Luis Cruz"
"462",460579,"Nyjer Morgan"
"463",506555,"Masumi Kuwata"
"464",506648,"Yoslan Herrera"
"465",112128,"Juan Castro"
"467",115608,"Scott Hatteberg"
"468",118967,"Kent Mercker"
"469",123609,"Javier Valentin"
"470",132660,"Jolbert Cabrera"
"471",132720,"Paul Bako"
"472",136460,"Alex Gonzalez"
"473",124000,"David Weathers"
"474",408252,"Brandon Phillips"
"475",407838,"Tom Shearn"
"476",400008,"Gary Majewski"
"477",346793,"Jeremy Affeldt"
"478",282562,"Adam Pettyjohn"
"479",279571,"Matt Belisle"
"480",276520,"Bronson Arroyo"
"481",276055,"Adam Dunn"
"482",150472,"Ryan Freel"
"483",447736,"Chris Dickerson"
"484",445104,"Brad Salmon"
"485",444354,"Daryl Thompson"
"486",440361,"Norris Hopper"
"487",435538,"Bill Bray"
"488",434298,"Todd Coffey"
"489",433898,"Jeff Keppinger"
"490",433477,"Andy Green"
"491",430680,"Justin Lehr"
"492",430667,"Jerry Gil"
"493",429665,"Edwin Encarnacion"
"494",425429,"Andy Phillips"
"495",424668,"Jon Adkins"
"496",424325,"David Ross"
"497",421685,"Aaron Harang"
"498",502158,"Josh Roenicke"
"499",489267,"Adam Rosales"
"500",476011,"Matthew Maloney"
"501",471839,"Alexander Smit"
"502",468915,"Alvin Colina"
"503",461874,"Craig Tatum"
"506",458015,"Joey Votto"
"507",457926,"Paul Janish"
"508",457803,"Jay Bruce"
"509",456701,"Homer Bailey"
"510",456501,"Johnny Cueto"
"511",455750,"Marcus McBeth"
"512",454537,"Jared Burton"
"513",452672,"Ryan Hanigan"
"514",452667,"Tyler Pelland"
"515",452168,"Sergio Valenzuela"
"516",451200,"Richie Gardner"
"517",450819,"Chris Kroski"
"518",450172,"Edinson Volquez"
"520",150342,"Jim Brower"
"521",150319,"Josh Fogg"
"522",150261,"Scott Sauerbeck"
"523",150221,"Mike Lincoln"
"524",150188,"Francisco Cordero"
"525",122681,"Mike Stanton"
"526",408232,"Ray Olmedo"
"527",534728,"Joe Baumgartner"
"528",534714,"Mike Beal"
"529",534709,"Ryan Bennett"
"530",534727,"David Blackwell"
"531",534735,"Mike Corrigan"
"532",534725,"J.D. Dunn"
"533",534711,"Andrew Guerra"
"534",534729,"George Hebert"
"535",534734,"Mike Herrmann"
"536",534724,"Ryan Johnson"
"537",534712,"Matt Mach"
"538",534719,"Chris Merrick"
"539",534717,"Casey Moore"
"540",534708,"Ziggy Moore"
"541",534730,"Zach Outman"
"542",534710,"Brandon Parsons"
"543",534722,"Brad Perkins"
"544",534716,"Tom Pinnell"
"545",534713,"Greg Rodgers"
"546",534715,"B.J. Rodrigue"
"547",534726,"Chaz Salembier"
"548",534733,"Dave Sever"
"549",534720,"Scott Turmail"
"550",534723,"L.J. Watson"
"551",534721,"Ramee Yacoub"
"552",534732,"Mark Zielinski"
"553",534718,"Mike Zimmerman"
"554",150449,"Rick Ankiel"
"555",449471,"Brian Barden"
"556",446382,"Brian Barton"
"557",112020,"Chris Carpenter"
"558",136725,"Matt Clement"
"559",408219,"Chris Duncan"
"560",113845,"Juan Encarnacion"
"561",420864,"Randy Flores"
"562",211041,"Ryan Franklin"
"563",136267,"Troy Glaus"
"564",452646,"Cody Haerther"
"565",458003,"Blake Hawksworth"
"566",459440,"Jarrett Hoffpauir"
"567",116414,"Jason Isringhausen"
"568",285131,"Cesar Izturis"
"569",459376,"Kelvin Jimenez"
"570",431164,"Tyler Johnson"
"571",150456,"Adam Kennedy"
"572",448337,"Josh Kinney"
"573",150178,"Jason LaRue"
"574",131702,"Braden Looper"
"575",407886,"Ryan Ludwick"
"576",458628,"Joe Mather"
"577",449072,"Kyle McClellan"
"578",425446,"Aaron Miles"
"579",425877,"Yadier Molina"
"580",435400,"Jason Motte"
"581",150426,"Mark Mulder"
"582",449157,"Mike Parisi"
"583",334492,"Joel Pineiro"
"584",405395,"Albert Pujols"
"585",435039,"Anthony Reyes"
